text,label
rt gabrielplnheiro existe extrema esquerda pra globo extrema direita,0
jotap_rios tipo quê,0
rt vitormramalho tudo boa gente outras pnr httpstcoy2i91hiyma,0
gente trump difícil imprensa persegue desde início mentiras inclusive httpstcochfoua36le,0
democracia cacete aqui suprema corte britânica mano brexit httpstcobdftio25qg,0
pesado real estaremos ocupando ruas neste dia 8m httpstco1mfoko22ks,0
pnr cala ante marxismocultural censura tolerantes hipocrisia fazdeconta nada _ httpstcoxlvvuy2pig,0
votei crivella pq freixo vai acabar milícias bandido bom bandido morto httpstcoczvilfru2d,1
feliz dia amigo come gordura picanha,0
ngm quer ir cmg noite branco,0
parabéns ae gabriel vc merece demais chorei aq httptcoiwylmno1vf,0
feia bonita gorda magra mulher feita pra respeitada,0
rt paulo_briani problema islão etnia sim ideologia visa destruir cristianismo referi futuro _,0
vou ver curso pra aprender burra porque olha tá difícil aturar raça medo mulher sabe pensar sifudê,0
olha bem mulher vou sincero quero ver branco quero ver altar,0
diadamulher feliz dia mulheres dia internacional mulher bolsonaroreidomundo mulher pra globo feminista,0
combate longo trará muitos frutos pnr pexit europadasnaçõeslivres httpstcodjx24n4y4t,0
caso carecafobia httpstcomvbrhsd532,0
fjstex estás insinuar algarvios alentejanos comunas fachos passam cambada rabetas,1
rt valehomossexual aprendam prefeitura fortaleza diadamulher httpstco67dubbuqv7,0
8 março sinta gorda feia porque peso 60 kg,1
rt alex_borges mulheres minoria cursos engenharia denuncia feminazi quer escolher profissão,1
flavix editorahumanas fgts httpstcozdbg6qy9wu,0
encontra melhores preços passagens aéreas todas cias nacional internacional fãtur viagens httpstcokv114sx6t1,0
prylliimaa querida vc burra falar mulher serve pra fazer faxina casa cuidar filho,1
mídia notícias falsas inventa histórias fontes eficaz democratas desmoralizados is _ httpstco9hbvtqeapk,0
bicicleta infanto juvenil aro 20 cindy magento fosco track bikes r 36378 r 13455 _ httpstcomgdcv9xmfn,0
rt _renzzi mulher burra nojo,1
linknpacto pq aprendeu gostar branco vê negro nãoatraente inconscientemente culpados mídia família brancos geral,1
vontade política tomam necessárias medidas coisas acontecem realdonaldtrump _ httpstcoo7ndm53mfv,0
murilo deixou prova branco vou bater nele,0
talvez nao descoberto gzsz ano enem estaria fazendo medicina sapatao eh praga,1
raabebastos odecarvalho jairbolsonaro parabéns coragem abraços,0
afilhada httpstcoxcgpbnxoyz,0
pegar táxi tempo silêncio dizer taxista aqui nesse cruzamento morri atropelado,0
dizer censura acabar liberdade expressãose vc acha q nasceu corpo errado socidade _ httpstcof00v3n9fv5,0
coisa homem hétero sabe maioria mulheres goza apenas penetração,0
coebravo foda to ai gorda feia idiota,1
vou lavar blusa curso deixei molho pois branco lindo suja pra kct fazer cabelo,0
enfia 7 dedo cu argentinos fdps,1
rachelsherazade rachel mita,0
tô considerando ideia usar burca pra ter interagir pessoas,0
hqeh pergunta esposanamorada onde quer ir fala pra onde vão pronto,1
queria modelo victorias secret infelizmente feia gorda,1
vanzkafka pra qdo gente brigado lembrar amo,0
uhuuuuu assim resisto vou obrigado ir aí acabar todo tira burca novo uhahaha _ httpstcobg1tkh0vzw,0
claro medo trumpkkkk httpstcohu7rbhjlb0,0
rt inespach30 azul branco coração httpstcotaf4fhllfe,0
homens governo suécia bolas afeminados acaso refugiados deitam rolam naque _ httpstcofdoirrllom,1
chamamse lésbicas fufas sapatas sapatilhas,1
procuradora piadalevou lambada dr miguel nagib autor projeto escolasempartidoem httpstcounr0zdayfi,0
paulobotelho87 glorificar sexo família resume sexo tão trivial faça sexo c mulher meio rua então idiota,0
rt jpintocoelho60 orgulho antonioguterre onu nunca confronto político tempo nacionalismo globalismo htt _,0
feministas odeiam preocupem odeio,1
aquecimento global severo,0
rt gabrielplnheiro comentarista globo news orgulho posar lado homem fez parte organização terrorista q matou m _,0
clariissegarcia curiouscatme gorda msm nãomas feia,1
dia bruxas noite solteiros,0
fabismorelli miga nao livro estudos promoçao mulher burra,1
medo pnr httpstco3gz09itsb3,0
amo negros tao gnt boa pena q pararam vender,1
ansioso ver página facebook pastormalafaia ar ajude denuncia httptcoqwyfowjp,0
2o fim nirvana httpstco866rfyo0hc,0
agdabritto ixi amiga marron marromenos termino namoro foda ne,0
rt edmilsonpapo10 suplicy implorou reunião dilma nunca atendido marcelo odebrecht 100 reuniões d _,0
nasceu 13121978 acredite apelido infância maria desastre rt alineborel tá pra nascer pessoa desastrada,0
rt leandroow3 feliz dia meio acelerador,1
bielvolei paullinh4 basta frequentar uns minutinhos grupo rexona pra ver surpresa gritarem sapatão,1
audiência pública sobre ideologia gênero niteroirj httpstcodftmbltovv,0
rt drhouse_fla última pra passar branco libertadores time bom pênalti faz diferença flamengo aquém,0
rt rpsantos1970 grandes respeitados podemos voltar sêlo renovar portugal missão obrigação juntos vamo _,0
25 março hj gente difícil índio brasil viu ate q vender pulserinha,1
sócrates processa estado português provar inocência irá doar indemnização recebida abater dívida pública,0
rt huntergirl616 tentando intender idiota face q compartilhou ideia dessa trouxa aff q mulher burra vidanem deve sabe _,0
rt gabrielplnheiro todo trans estuprador existem sim vamos deixar meninas homens banheiras sozinhas httpstco _,1
discurso ódio bem 2017 matar bolsonaro pois querem calar pessoas apoiam esqu _ httpstcoai4keix296,0
galera notei muitos donos labradores acabam ficando cegos comprem labradores gente,1
guarani consegue reverter derrota 4x0 vc consegue pegar gostosa escritório httpstcofmd4dkbbkf,1
leticiabahia23 grande definição ideológica vivida atualmente passado so isla falta hj éesquerdismo,0
rt jairbolsonaro padre julio lancelotti serviço esquerda assista tire conclusões httpstcorqtoq2irao,0
helderrocha16 chagaluccas crime podese dizer homofobia absurdo,0
mafiasumers mano vídeo certeza baseado fatos reais,0
diferença manifestante terrorista esquerdista vagabundo baderneiro conservador patriota gente _ httpstcoxvqzqwfths,1
passo 1 denuncie pagina silas facebook 2 mande msg pro pastormalafaia avisandoo 3 use hashtag trolandocomhumornegro,0
sonho liberdade expressão exercício democracia deve china cuba conservador presidência jamais,0
rt jubiracy dilma sobra cinismo falta vergonha afilhada tanto apreço verdade quanto padrinho lulahttpstcoalvegy _,0
dia portugal httpstcofwpsd4dgav,0
aliás pra ver futebol copa vai acompanhar nada próximos 4 anos novo deixe gosta ver paz,0
rt maggot00_ humornegroo ai denunciei porra mercado fé daquii hahahah,0
rt odedonafrida nunca saem resultados eleições sporting porque william carvalho contar votos,0
kikoishot abraço ruihcruz conta,0
vou falar viu mulher burra dá valor naquilo pqp,1
rt abrahocavalcant retweeted marisa lobo marisa_lobo comece apoio cinema rejeitou belaeafera compartilhando h _,0
deve tal guinada direita imprensa tanto fala piada sótemsocialistanessamerda httpstcofsuq4k9xi3,0
carolguzowski sim falar trabalho pra galera muita ofensa,0
lzuckerberg joaquinvoltou sim comemoram dia mulher lesbicagay nao qq mulher agenda esquerda,0
franmoraes2 parece tá morrendo né liga naum cachorro aqui prédio sempre confundo foda rs,0
rt _sartorlari sapatão inferno jakakaka,1
homens têm patroa homens têm mulher mulheres escolhem querem mulherdeverdade,1
dsbranquinho urgente reconquistarlisboa httpstcoyt0mybcqkx,0
1 cqc criticava governo 2 srta_iozzi erikgo entram cqc 3 cqc acaba 4 ambos hj defendem pt crític _ httpstcoov3hwv9x39,0
rt radbrancaemagra racista dei uns bj neguinho,0
suécia tudo bem sweden pnr refugees fakenews realdonaldtrump httpstcoy3sap1tutw,0
continuou 8 anos dando pro cara chama otária httpstco4kfcmxjcsj,1
espero quartel bombeiros cascais espaço suficiente acolher julgamento todos arguidos operação marquês,0
canofdandelion vc q burra aqui defendi direitosreconheco q mulher n eh igual homem,1
adianta vc dizer sente pena consegue refutar linha falo tática _ httpstcoszt99sypkl,0
algarvios caravana caminho grego batáguas auditório verde 22h bilhetes sítios co _ httpstco5tpnwhhjbr,0
vcs sabem irmãs fazem saber q grávidas enfiam banana xana voltar mordida porque,0
nao sei porque pessoas assustam descobrem recebo refugiados casa acharam ativista internet,0
vc gosta legião urbana favor unfollow aqui gente vergonha cara bom gosto musical porra,0
hora toquei causa dia mulher cuidado burra,1
capitalismoop vishii q entrar google digitar facebook algumas tentativas consegui entrar contaufa,0
cadeira copo certamente lula httpstcocngq6nrgyy,0
estadao camilapitanga rachelsherazade idiotas inúteis mamadores dinheiro público iludem milhões imbecis,0
joaohamu lindooooooo reviso lida puder,0
campainha q ouve directos assembleia d república serve recordar passa dispendioso infantário,0
rt eita_barbzz acho mó engraçado galero tenta chamar atenção fznd piadinha burra sobre dia mulher,0
grande aumento tráfego pro país certas regiões povo vulnerável enquanto aguardam _ httpstcoozmdanyj7v,0
sinta mulher verdade ofende outras mulheres chamandoas feia estranha magrela gorda etc,0
quer refugiados pare crialos httpstcozn9bn22ejq,0
glórias deus abortistas httpstcocshayitinz,1
trapalhadas alexandre moraes governo aparências httpstcoldv5lcbe6l jornalismowando,0
variar política díptico acrílico velas praia httpstcoib40pjpmaj,0
rt 2souoquesou pessoa feia pode ficar bonita bonita feia pessoa gorda pode ficar magra magra gorda julgue bele _,0
forças malignas esquerda tentando dominar mente ta acontecendo,0
amndawilczek cara mandou tirar colar relógio make mandaram tirar foto burca porque lá,0
reclama temer corrupto hora votar dilma vice ligou né,0
vcs ofendem tudo sabe brincar devolve barbie,0
obrigado samsung adoraríamos têlos aqui httpstcopqg6e3mieo samsung poderá ter fábrica eua,0
sbx deve ter sapatão organizadores kkkkk pq cover gay ue,1
vcs fufas bue abusadas,1
rt btchissola diz crise angola httpstcoc2b8gctzkb,0
fodase esquecime todas feministas fufas httpstcoslggngreku,1
rt gabwhenicome tt direitafalando melhor jajdkdkd,0
rt cesardogg aqui salto eh 10 mil pés paraquedas andar prancha tubarão branco espera,0
pagapaulo fez homem perder emprego porque cara deu opinião facebook adivinha moral _ httpstcon8g8qbu3sb,0
legal pra presidente grampear corrida presidencial antes eleição negado tribunais hoje mai _ httpstcouuhy8amfcr,0
leandroow3 vdd kkkkkkk esqueci falar aí,0
jornaloglobo jornalista baba ovo vagabundo difícil chamar bandido,0
rt pqmorilu branco msm httpstcocudfmpx9vv,1
toa twitter começa t treta,0
rt nevesigor frases direita absurdo judeu reagiu cuspindo hitler imaginem contrário,0
derminhoca desenhando parte 2 httpstcotrizvbaufn,0
pior recessão história parabéns todos votaram defendem pt httpstcodvpcrtl5sb,0
palavra dia homem homem diz fragrância,1
irmão estadohiramico bloco porão dops apareceu aqui camarote glacial joaquin teixeira trajando fan _ httpstcoqbahhytxrg,0
instrui segurança interna auditasse pessoas vindo país cuidado tribunais difi _ httpstcozby2njsogt,0
rt marcita_um lobaoeletrico diria q todo esquerdista orgulhoso fugiu aulas história pulou aulas filosofia nao sabe _,0
rt direitafalando maconha faz rir mesma faz mãe chorar,0
vc tá feia gorda ninguém vai gostar vc assim httpstcoaepw67xnkf,1
entendi nada mina tá boi traduz joaquinresponde httpstcorwb54ebtae,0
miguelcarvalhu cada livre escolher tipo erros prefere novos erros direito mim prefiro evitálos,0
rt vitormramalho assim dra francisca van dunem httpstcowobuxrmb7h,0
tanto medo avião passa lá cima coração acelera afff,0
bora benfica acorda caralho,0
rodolfogbw esquerda manda coletivismo feministae nao querem falar mal islã todas cala _ httpstcogi16sm9bhi,0
uol chegam mudar todos costumes httpstcog6icvwgisu,0
carlosbolsonaro daqui pouco vão falar vendeu faca bandido jairbolsonaro,0
feliz dia mulheres pra tammy gretchen várias alterações chassi continua sendo mulher,0
gorda cabelo bom cara bem feia,1
jamais confunda homem porco homemdeverdade homemdeverdade sabe bem hora lavar mãos,0
cada feliz dia mulher menos pra feminista vejo quão burra sociedade,1
entenderam porque presidenta deveria cassadavivíamos conto vigário mentirosa compulsiva httpstcottjtxqbjr3,0
fmlrobbery feminismo defende todas pautas esquerda esquerda perder faz protesto nunca prote _ httpstco5yyyvvosol,0
joaquinvoltou jqteixeira reasalvagni,0
precisase urgente serial killer cantores sertanejos,0
agende seminário palestras liderança jovens igreja geral sobre ideologia gênero 5 livros httpstcoxmsl8gda8l,0
pra deixar claro homemdeverdade faz clube macho turminha foda merdas machistas baitolas recatadas,1
capitalismoop editorahumanas vdd porque pouco importando segurança dá mulher,1
esquerda filha puta sempre httpstcocbhw2v9dob,0
sim igual abraçar barril joaquinresponde httpstcoktjfdi4sor,0
sapatão,1
tempo abrir olhos perceber governados amigos terroristas httpstcofwmokbiwz6,0
problemas psicológicos causados excesso corrupção petista,0
birras partidocracia prejudicam nação ppdpsd bom redução tsu todos ganham govpt httpstcouryzhme2l6,0
rt seqrsfalarchupa sdds jogos d futebol verão fufas sporting vs fufas benfica lmao,1
afinal time presídio precisa goleiro httpstcowpxhsyvgdk,0
gabrielplnheiro raquelrangel0 assiste serbian film vomitar passou teste,0
talvez milhões pessoas votaram pra tornar américa grande novamente deveriam ter tido próprio comício _ httpstcox0fm7unewa,0
rt devilshug meudeus fardo deve ter nascido hétero branco aff tragédia grega,1
masterchefbr mulher inteligente pra caralho ainda cozinha bem consigo competir vida,0
posso usar lavar tênis branco,0
josybreda ideologia gênero forma mem informa ideologia gênero deforma mentes infantis,1
marcimag_ beatrcz frente estádio,0
rt indelicath meuamigosecreto diz legal pediu pra ficar comigo disse nãoagora diz q vagabunda,1
q mulher estúpida httpstco31ifzgfzxr,1
vou boicotar habibs mãe tô fome big mac 2199 whooper 2299 esfiha 099 filho quer queijo carne,0
vc descobre mina vc conhece vista sapatão,1
sabe cor bege,0
amor httpstco0ilxejy5v6,0
rt feministinho deixei redação enem branco pois pra falar sobre feminismo,0
filha bruxa 71 deputada drogada moral decidir deve ensinado filho,0
americanos amplamente contra cidades santuário httpstcog5ehybqlgj httpstco86k040gegi,0
rt pedroaguerr ano vamos sair eurovisão zero pontos fofinhos sempre 3 festivaldacancao,0
rt __jdf hoje talho mota vandalizado ainda lá vai encontrar porco dois presuntos embrulhados papel azul _,0
mulher carne churrasco vc esquenta pau,1
agora sim assumo httptcouzowkrxdoy,0
rt jpintocoelho60 participação pnr autárquicas vai crescendo programa nacional diferenças locais pode dizerse todos dif _,0
apoio total pastor silas malafaia sendo vez vitima dessa mídia comprada esquerda,0
alineborel sério qq dia relato umas boas especialista pósgraduada auto flagelação formei desligamento exemplo,0
rt rpsantos1970 interrupções voluntárias gravidez cultura morte legalmente efectuadas hospitais portugal 20012012 https _,0
gente mulher humano burra acreditar ainda possa ter amor verdadeiro,1
rt adrism16 td dia msm post ldrv perguntando cade sapatao,1
mulherdeverdade acredita amor vira refém,1
papa bergoglio pede cristãos menos filhos enquanto httpstcocak1eylqlr,0
globo mostrando homem nai vale nada mulher burra iludida,1
jener gabriela surpresos disse sapatao ata more,1
kkklkkkkkkkkkkkmais kkklkkkkkkkkkkk pra vc httpstco55xdouxsq3,0
pensou maneiro enterro assim fechar caixão alguém tocar música encerramento windows,0
rip mtv novo httpstcow7f91jg7fk,0
machico ilha madeira pnr presente autárquicas primeira vez força _ httpstcoexi4lnwxqz,0
ruihcruz vais dizer mentira,0
jeff sessions homem honesto disse nada errado podia ter respondido maior precisão claram _ httpstcocyz5nbtyix,0
rt diogo_sabio solinho destes 8 manhã gnd mimo faz lembrar mt verão gajo aguenta tar fechado sala aula,0
presidente dragões voltou mostrar descontentamento invicta azul branco httpstcooplyup1b4z,0
levy fidelix cu homem trans cisde gayde mulher trans cisde lésbicade náobináriofluído etc reproduz absolvido,0
mestre carinholuiz carlos alborghetti 120219459122009 jornalista radialista culhões homemdeverdade rip,0
nossaesse povo whats come dorme viciadosjesus amado,0
lembrava tévez trabalhado alfândega vez revistar rio ferdinand bons tempos httpstconavhtwjlsr,0
cara qdo vc descobre q vai ter q trabalhar pra pagar contas httpstcoz4qfpxxsc6,0
pauloap felipehamachi ain pq toy story mostra capitalismo menino escraviza brinquedos pq sera woody negro,0
hora fecho islão extremadireita mobilizam modo similar httpstcoidcmdebj9d,0
rt direitafalando meritocracia existe n ta vendo nordestino pedalou 29 km nadou 41km formou direito,0
rt frasesdegays prima sapatão prima sapatão,1
diz devemos comer ovos porque comer aborto nojento nunca viu ambiente discoteca 6 manhã,0
psdb zoando socialismo s ali meio hein pai estatuto desarmamento _ httpstcoz9mfngvd0r,0
to passada quanto cara acha mulher obrigação conversar tinder deu like chama puta,1
poliana bagatini 29 anos mulher cantor sertanejo vitor chaves dupla victor leo registrou queixa httpstcoz9ffafmp72,0
_latinlover_ perfume pra mão jovem amantepra mão cappice,0
boba burra ingênua santa pessoa riso fácil choro prazer mulher,0
godaryl pra desenhar aí vai httpstcosuejotfsdg,0
rt _deadputa assim angola europa xd httpstcohxsefn3npu,0
oangelo82 odedonafrida ia puxar emoji cão triste preciso,0
rt tiagoleifert thgdomingues joaquinvoltou saindo daqui pego helicóptero conquistei trabalho honesto vou pra bragança _,0
qdo vc vê q mulher q vc gosta bloqueou pq vc comeu outra httpstcoxulxyhzpyl,1
américa norte conceito jogar mata escolas ligeiramente diferente pratica aqui _ httpstcojj3a3bxxlo,0
quer chamar atenção marido organiza grupal amigas pra jumenta httpstcoshhsv1hg7a,1
ijunqsouza pastormalafaia homossexualismo doença devia existir primeiro fazem acreditar normal natural incentivam,1
rt 37227 intérprete língua gestual tentar traduzir melhor maneira bela figura passos coelho parlamento httpstco4r _,0
lugares pátria ponta oriental ilha madeira desertas fundo ilhadamadeira caniço _ httpstcoybbo7yeuuj,0
estadao nunca vi coletivismo lutando direitos mulher islamismo massa manobra d _ httpstcodosd6scanu,0
pra gosta futebol fodase mané alma,0
vou falar coisa sobre rep keith ellison luta liderar cnd antecipou antemã _ httpstcondiuxdagnj,0
olho 2milhoes assinaturas hoje descontentes roubalheira httpstcor2av8vyclj,0
puta pariu ódio mulher machista burra,1
rt allonsygui nao entendi mto bem nicki minaj achou livro dai leu transformou bella crepusculo q doideira httpstcon _,0
vergonha paraná foro privilegiado continua enganado povo brasileiro senadora171 httpstco8hvuiqessj,0
falei racista porra,1
yronikamente benção paulo núncio supervisão banco portugal httpstcozj1f1vxgq6,0
otmar03 djouka_pb tambem tm video bruno namorada maos dadas nao natureza tratar bem mulher kkkkk,1
msjuh_ capitalismoop cadeia onde vc viu,0
psol seguir ideologia comunista coreana onde come cachorro levaram pé letra httpstcoaqazisqzmz,0
rt paulox36 noruega refugiados aceitam apartamentos populares exigem casas httpstco5dfepap5ng,0
outro refute falei fatos lógica verdades httpstcouf5mfuuazq,0
sapatao nao deveria sentir cólica menos menstruar,1
rt tradutores_br discurso donald trump congresso americano completo httpstcoipbrzf81tv via youtube,0
livro tá 20 desconto saraiva percam httpstcoqhhp7smh7t via saraiva,0
10 junho marcha nacionalidade partilhe convide amigos portugal omundoacabaamanhae renovarportugal pnr httpstcocntaodafri,0
acham bandido machista to entendendo logica feminista agora toda atitude bandido cometido _ httpstcoqwutya0kwb,0
rt j_ketchup preguiça mina childfree mano quer ter filho agora ficar postando criança mal human _,0
castelo branco lili canecas filho httpstco1yu3daeeax,0
rt altrightbr lembrese nunca brasil precisa própria ousadia garra força iremos combater praga _,0
mãe admirando estátuas qdo faz turismo httpstcorzl5n7qdwh,0
dai vê objetivo principal informar nada imagina httpstcoauylfyo52i,0
porque hoje quintafeira rtp decidiu entrevistar cavaco serviço público menos respeitarem memória zeca afonso,0
imigrante islâmico ataca mulher suécia frente filho dose cultural esquerda apoia _ httpstcoxat2rtvph8,0
lucianohuck vai líbano ajudar refugiados q fechou praia angra fez propriedade privada pra pobrezada entrar,0
melhor coisa fiz assinar editora humanas httpstcos5ukekqkfi,0
lailão apaga fiquei mtfeia parece quero gorda peito caído lary feia lary reclama lailão lailão vai tnc,1
grande honra comparecer ontem recebimento restos mortais ryan owens filha ivanka grande corajoso homemobrigado,0
mimimi bolsonaro machista mimimi machista pai traí mãe,0
deveria existir escolas aulas sobre combate cristofobia atinge milhões brasileiros atualmente,0
charlie sheen to contigo querido amigo,0
hoje dia pode praticar genocídio igreja racismo,1
glee cantaram run the world babei heather morris nitidamente nao sabia sapatao gente tombei,1
onde feministas httpstcoxevjozie3h,0
filtro branco coador hario v60 02 apenas r6200 acesse httpstco94qzfbuwyx casa oferta desconto _ httpstco1mfsvxqsc9,0
companheira cynaramenezes prefere europa bom vez lá tomado terroristas quiser _ httpstcocibkxhxrpr,0
saque fgts inativo começa nesta sexta 48 milhões pessoas httpstcohbnvqw0n0y,0
capitalismo posso pegar pokemon aí httpstcoz7g92jztox,0
melaineribeiro naoeammmm pq alter ego tb ama amigos nessa vida rs,0
gabrielplnheiro olha jublackpower hahahhah atriz hollywood 80s,0
texto todo velha ladainha feminismo verdade passado hoje dia blablabla deslegitimação básica,0
atenção carro roubado tres carros recuperados tucson prata hb20 branco ranger recebi placa httpstcohgplvdiof9,0
rt joaquinvoltou 21 anos mamonas assassinas vivos estaria fazendo textão acusando cara machismo homofob _,0
sentindo jundiaiense pra faculdade perguntei coxinha frango mulher faltou chamar burra dizendo,1
_jujuba_lima baummm hein coisa gostosa ando reflexiva enmm paz tb mto bom,0
jornaloglobo pague 1 milhão primeiro deve cofres públicos,0
sair ruas manifestar apoio donald trump babacas palhaços idiotas aí p brasil sair rua _ httpstcof32xufrowx,0
aí suspeito né vagabundos comprovado bandido atirando contra pm carro roub _ httpstcoaj3pkb9obh,0
constroem obstáculos dentro casas vez expulsarem serpente islâmica vergonha httpstconv1iti6pdq,0
rt bolsonarosp agora buscar foto criança jogando vídeo game provar papai vídeo gamefóbico pqp,0
rt rpsantos1970 ratos hospital barreiro psocialista diz obras avançam ano outros disseram pe _,0
responsáveis naoaolimitedeinternet httpstcozxyaexw2rm,0
rt _azevedonicolas barça viu psg branco pensou real aí deu deu né kkkkkk,0
bentomribeiro vc mó bobão eim,0
cabras cabritos consegue emprestar super juiz consegue enganar,0
estadao artistas intelectuais acham superiores todo mundo donos verdade povão ta cagando pra merdas,0
homem verdade sabe desenhar pinto conhece pau honre pinto,1
assim agora redeglobo golpista serve pra algo karine_amaral httpstcoppqjbtngq3,0
rt nunesjoely pra ter consciência humana durante resto ano ai hj vem chorume,0
finalmente problemas brasil vão resolver governo querido amado michel temer tchauquerida,0
gorda feia,1
tim comprou google,0
gay expulso casa gay expulsa sendo héterosem ter feito nada preconceito desculpe p falta amor,0
político manja mto enganar outros hein lucianagenro carrinho q queria sim httpstcow0orauyofi,0
rt dilmabr quero dar solidariedade povo rio apoio sergio cabral juntos nesse enfrentamento crime organiza _,0
episódio novela viagens agora envolvendo protagonistas cdu tudo farinha saco httpstcostzlepkzcl,0
marido jofran alves passeando feirinhadolargodaordem apropriei cultura _ httpstcottn4etsump,0
gorda feia falsa vai tomar cu mane,1
bastaram 4 anos pra mudança acontecer httpstco09a2spa316,0
rt g1 500 mulheres vítimas agressão física cada hora brasil aponta datafolha httpstcoqupbchjfpu diadamulher g _,0
adoro energia daqui gosto lembrar vou trabalhar feriado gosto ter emprego então tá ótimo rs,0
menos capitalismo pude ver guerra civil estreia vai lá ver cuba,0
lisboa cidade adoro viu nascer acrílico stela padrãodosdescobrimentos pontesalazar httpstcoxumrkbw4yh,0
hoje acordei 1 vontade fazer uns dreadlock ta moda,0
vai rolar furdunço aniversário p ñ passar branco,0
digitar palmeiras google google caiu,0
amigas verdade tratam httpstcory82zzoxbx,0
ha ha aí consegue argumentar falou desmontar sendo figura linguagem apela pro ain _ httpstco6mpyopkj22,0
capitalismo realmente perdoa nada única salvação além ideologia sanguinária comunismo hipocrisia _ httpstcowzx4pkbh61,0
rt joselitomuller3 mulheres minorias estivadores apesar políticas inclusão httpstcopqkop8mcfo httpstcotrkln6y3 _,0
chegar hora europeus acordarem httpstcod5ymsymuyw,0
apesar serem australia acdc banda homens verdade,0
130 operárias queimadas dentro fábrica 1857 homemdeverdade bundão covarde carater,0
diadamulher dia putas aborteiras,1
marlenebicalho morava jabaquara comprava açougue massa av sta catarina lá seleta legumes amava sniff,0
refugiados entrassem automaticamente estaria cumprindo maior dever proteger país,1
nathirsouza pode mandar favor,0
consegui cortar dedo faca serrinha mulher burra mundo,1
aninha_ebc dá vontade fazer comentário desaforado pra menina httptwitpiccom23v6gt acho vou fazer,0
países ricos golfo pérsico acolhem refugiados httpstcoxngypwteth,0
felipehamachi desespero pra ganhar foda tá demais,0
prazer matar muçulmano,1
sério sei pior vida vey pobre pobre gorda feia,1
grandes realizações feministas federais httpstcojt1n9zuu92,0
zivkovic pequena maravilha,0
nenhum fique claro sobrepeso faz mal saúde ácido úrico gota devido joaquinresponde httpstcomhy3q3mtpz,0
grande imprensa população esquerdista mostram quão democráticos sequer deixar trump começar trabalhar,0
gabrielplnheiro ibrags mitomania fã bolsonaro hahahahahahah zuera,0
redes sociais ativistas criaram vaquinha ajudar pagamento dívidas publicação httpstcox7lak54k62,0
vivemos tempos interessantes aqui partido extremadireita conservador antiislão homofóbico httpstcouddrdwzzow,0
mulher burra fica pobremas vou dizer inteligente pode enriquecer buceta poderr,0
feliz dia valentim httpstcouzj7ukts8l,0
hannaroehe agradeço,0
sorte hoje chama ricarda,0
santa maria feira recebeu pnr 1º dezembro httpstcordiqldt7wv renovarportugal pnr portugal,0
extra próxima novela 9abordará transgêneros desde infância lembrese associação americana httpstco9cqui5emjc,0
lucasmzanella leu falta interpretação texto httpstcoqrkhcfktrc,0
tá linda santa httpstco6dfuu5kqvz,0
preocupem livrar limites estatais trará competitividade estará fase 2 3 plano sa _ httpstcoig5kpwzqvv,0
rt odecarvalho notaram nunca jamais terrorista ditador genocida chamado mídia extremista esquerda,0
